0.09	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.72808
0.09	0.10000	0.30438	0.36667	0.36667	0.36667	0.36667	0.36667	0.65778
0.09	0.10000	0.50292	0.90000	0.63333	0.63333	0.63333	0.63333	0.75557
0.09	0.10000	0.90000	0.63333	0.90000	0.90000	0.90000	0.90000	0.77484
0.09	0.29111	0.10000	0.10000	0.36667	0.36667	0.63333	0.63333	0.77632
0.09	0.29111	0.30438	0.36667	0.10000	0.10000	0.90000	0.90000	0.73966
0.09	0.29111	0.50292	0.90000	0.90000	0.90000	0.10000	0.10000	0.75722
0.09	0.29111	0.90000	0.63333	0.63333	0.63333	0.36667	0.36667	0.84851
0.09	0.54444	0.10000	0.36667	0.63333	0.90000	0.10000	0.36667	0.62716
0.09	0.54444	0.30438	0.10000	0.90000	0.63333	0.36667	0.10000	0.44982 
0.09	0.54444	0.50292	0.63333	0.10000	0.36667	0.63333	0.90000	0.86961
0.09	0.54444	0.90000	0.90000	0.36667	0.10000	0.90000	0.63333	0.73185
0.09	0.90000	0.10000	0.36667	0.90000	0.63333	0.63333	0.90000	0.18029
0.09	0.90000	0.30438	0.10000	0.63333	0.90000	0.90000	0.63333	0.10000
0.09	0.90000	0.50292	0.63333	0.36667	0.10000	0.10000	0.36667	0.87879
0.09	0.90000	0.90000	0.90000	0.10000	0.36667	0.36667	0.10000	0.61199
0.15	0.10000	0.10000	0.63333	0.10000	0.90000	0.36667	0.63333	0.67551
0.15	0.10000	0.30438	0.90000	0.36667	0.63333	0.10000	0.90000	0.62693
0.15	0.10000	0.50292	0.36667	0.63333	0.36667	0.90000	0.10000	0.83597
0.15	0.10000	0.90000	0.10000	0.90000	0.10000	0.63333	0.36667	0.37706
0.15	0.29111	0.10000	0.63333	0.36667	0.63333	0.90000	0.10000	0.45541
0.15	0.29111	0.30438	0.90000	0.10000	0.90000	0.63333	0.36667	0.57418
0.15	0.29111	0.50292	0.36667	0.90000	0.10000	0.36667	0.63333	0.78505
0.15	0.29111	0.90000	0.10000	0.63333	0.36667	0.10000	0.90000	0.75779
0.15	0.54444	0.10000	0.90000	0.63333	0.10000	0.36667	0.90000	0.79423
0.15	0.54444	0.30438	0.63333	0.90000	0.36667	0.10000	0.63333	0.84532
0.15	0.54444	0.50292	0.10000	0.10000	0.63333	0.90000	0.36667	0.61233
0.15	0.54444	0.90000	0.36667	0.36667	0.90000	0.63333	0.10000	0.43979
0.15	0.90000	0.10000	0.90000	0.90000	0.36667	0.90000	0.36667	0.79674
0.15	0.90000	0.30438	0.63333	0.63333	0.10000	0.63333	0.10000	0.81185
0.15	0.90000	0.50292	0.10000	0.36667	0.90000	0.36667	0.90000	0.10314
0.15	0.90000	0.90000	0.36667	0.10000	0.63333	0.10000	0.63333	0.23440
0.09	0.10000	0.30438	0.10000	0.36667	0.10000	0.76667	0.36667	0.73835
0.09	0.54444	0.30438	0.10000	0.36667	0.10000	0.76667	0.36667	0.78163
0.09	0.54444	0.30438	0.63333	0.36667	0.36667	0.76667	0.36667	0.90000
0.09	0.10000	0.30438	0.63333	0.36667	0.10000	0.76667	0.36667	0.83414
0.09	0.54444	0.30438	0.10000	0.36667	0.36667	0.76667	0.36667	0.82992
0.09	0.54444	0.30438	0.10000	0.36667	0.63333	0.76667	0.36667	0.75420
0.09	0.10000	0.30438	0.36667	0.36667	0.36667	0.76667	0.36667	0.82057
